name,order_id,amount,country,product,order_date,order_status
John,1001,250,Nigeria,Laptop,1/1/26,Pending
Mary,1002,400,Ghana,Phone,1/2/26,Shipped
David,1003,150,United state,Tablet,1/3/26,Shipped
Sarah,1004,600,United Kindom,Monitor,1/4/26,Pending
Michael,1005,320,Germany,Keyboard,1/5/26,Completed
Linda,1006,500,India,Mouse,1/6/26,Shipped
James,1007,700,Canada,Printer,1/7/26,Completed
Grace,1008,280,Australia,Speaker,1/8/26,Completed
Daniel,1009,450,United state,Camera,1/9/26,Shipped
Sophia,1010,390,Nigeria,Router,1/10/26,Completed
