name,order_id,amount,country,product,order_date,order_status,income,discount
John,1001,250,Nigeria,Laptop,1/1/26,Pending,1000,0.05
Mary,1002,400,Ghana,Phone,1/2/26,Shipped,3500,0.03
David,1003,150,United state,Tablet,1/3/26,Shipped,2000,0.02
Sarah,1004,600,United Kindom,Monitor,1/4/26,Pending,4000,0.07
Michael,1005,320,Germany,Keyboard,1/5/26,Completed,3000,0.04
Linda,1006,500,India,Mouse,1/6/26,Shipped,2500,0.03
James,1007,700,Canada,Printer,1/7/26,Completed,4500,0.03
Grace,1008,280,Australia,Speaker,1/8/26,Completed,5000,0.04
Daniel,1009,450,United state,Camera,1/9/26,Shipped,4500,0.02
Sophia,1010,390,Nigeria,Router,1/10/26,Completed,3500,0.02
